Census 2021 Data Zone Code,Census 2021 Data Zone Label,Household Deprivation Code,Household Deprivation Label,Count
N20001661,The_Glens_B4,5,Household is deprived in 4 dimensions,2
N20001662,The_Glens_B5,1,Household is not deprived in any dimension,34
N20001662,The_Glens_B5,2,Household is deprived in 1 dimension,65
N20001662,The_Glens_B5,3,Household is deprived in 2 dimensions,80
N20001662,The_Glens_B5,4,Household is deprived in 3 dimensions,45
N20001662,The_Glens_B5,5,Household is deprived in 4 dimensions,7
N20001663,The_Glens_B6,1,Household is not deprived in any dimension,71
N20001663,The_Glens_B6,2,Household is deprived in 1 dimension,80
N20001663,The_Glens_B6,3,Household is deprived in 2 dimensions,93
N20001663,The_Glens_B6,4,Household is deprived in 3 dimensions,41
N20001663,The_Glens_B6,5,Household is deprived in 4 dimensions,10
N20001664,The_Glens_B7,1,Household is not deprived in any dimension,54
N20001664,The_Glens_B7,2,Household is deprived in 1 dimension,46
N20001664,The_Glens_B7,3,Household is deprived in 2 dimensions,31
N20001664,The_Glens_B7,4,Household is deprived in 3 dimensions,16
N20001664,The_Glens_B7,5,Household is deprived in 4 dimensions,3
N20001665,The_Glens_C3,1,Household is not deprived in any dimension,92
N20001665,The_Glens_C3,2,Household is deprived in 1 dimension,77
N20001665,The_Glens_C3,3,Household is deprived in 2 dimensions,37
